序号,消息id,发送方,消息格式,消息内容,时间
494,862606100176698,买家,text,黄二白选什么色号合适,2026-06-09 20:03:22.049
494,862606100176786,商家,picture,https://img.example.com/seller/shade_card/384873.jpg,2026-06-09 20:03:37.364
494,862606100176858,商家,text,这是色卡图哦~偏黄皮建议选枫叶红，自然贴肤不假白,2026-06-09 20:04:01.324
494,862606100176953,买家,text,持久度如何，一天要补妆吗,2026-06-09 20:05:02.777
494,862606100177006,商家,text,实测8-10小时持妆，油皮建议定妆喷雾锁一下，基本不用补妆~,2026-06-09 20:05:37.593
495,862606100177063,买家,text,你好,2026-06-09 20:17:31.129
495,862606100177157,买家,text,视黄醇抗皱晚霜我一直回购，最近怎么涨价了,2026-06-09 20:17:53.902
495,862606100177220,商家,text,亲，前段时间是大促价，现在恢复日常价啦，不过老客户这边可以给您申请一张回购专属券~,2026-06-09 20:18:57.251
495,862606100177303,买家,text,那还行，我拍两瓶,2026-06-09 20:21:00.391
495,862606100177370,商家,text,好嘞~两瓶还能凑到满减，帮您备注优先发货❤,2026-06-09 20:21:39.144
496,862606100177450,买家,text,618价格和现在比哪个划算？,2026-06-09 20:21:58.026
496,862606100177544,商家,text,当前是月度大促价，和618基本持平，还多送赠品，建议趁活动囤哦~,2026-06-09 20:22:14.390
496,862606100177575,买家,picture,https://img.example.com/buyer/coupon/209165.jpg,2026-06-09 20:24:32.413
496,862606100177671,商家,text,看到啦，这张券需满199才能用，您购物车再加一件小样就能凑到门槛哦~,2026-06-09 20:25:00.391
497,862606100177707,买家,text,订单20260668350273什么时候发货？都两天了,2026-06-09 20:33:37.786
497,862606100177738,商家,text,亲亲在的哦~,2026-06-09 20:35:05.914
497,862606100177828,商家,text,亲，已催仓库优先处理您的订单，发出后会短信通知，请留意物流信息~,2026-06-09 20:35:16.660
497,862606100177867,买家,text,能改发顺丰吗，我补差价,2026-06-09 20:36:57.694
497,862606100177936,商家,text,可以备注改发顺丰的，差价这边帮您申请免掉，请稍等~,2026-06-09 20:38:10.761
498,862606100178019,买家,text,订单20260663090033什么时候发货？都两天了,2026-06-09 20:44:57.114
498,862606100178079,商家,text,亲，已催仓库优先处理您的订单，发出后会短信通知，请留意物流信息~,2026-06-09 20:46:18.188
498,862606100178173,买家,text,别跟我说一般，给个准话今天发不发,2026-06-09 20:48:18.002
498,862606100178218,商家,text,理解您着急的心情，刚和仓库确认过，您的包裹今天一定发出，请放心~,2026-06-09 20:49:07.138
499,862606100178294,买家,text,口红02象牙白和豆沙色哪个显白？,2026-06-09 21:13:22.133
499,862606100178342,商家,picture,https://img.example.com/seller/shade_card/891048.jpg,2026-06-09 21:13:40.733
499,862606100178423,商家,text,显白推荐02象牙白，冷调更提气色，黄皮涂也不荧光~,2026-06-09 21:14:04.228
499,862606100178475,买家,text,遮瑕力怎么样,2026-06-09 21:15:00.027
499,862606100178543,商家,text,中等偏上遮瑕，日常痘印黑眼圈都能遮，厚涂也不卡纹~,2026-06-09 21:16:02.862
500,862606100178638,买家,text,维C亮肤精华用了几次不太合适,2026-06-09 21:20:55.510
500,862606100178698,买家,text,能退吗,2026-06-09 21:21:06.458
500,862606100178733,买家,text,运费谁出？,2026-06-09 21:21:28.966
500,862606100178800,商家,text,您好~支持七天无理由退货（自签收次日起算），未拆封可直接申请，已拆封使用的这边帮您登记专员审核哦,2026-06-09 21:22:33.582
500,862606100178861,商家,text,质量/过敏问题运费我们承担；个人原因退货运费需要您承担哦，有运费险的话会自动理赔~,2026-06-09 21:22:44.195
501,862606100178925,买家,text,这个满199减25的券能和店铺券叠加吗,2026-06-09 21:21:59.751
501,862606100178992,商家,text,在的在的，请讲~,2026-06-09 21:23:04.588
501,862606100179060,商家,text,可以叠加的呢！平台券+店铺券+赠品，到手价比日常划算很多，现在入手很合适~,2026-06-09 21:23:16.939
501,862606100179136,买家,text,OK懂了,2026-06-09 21:25:48.686
501,862606100179168,商家,text,好的亲~下单后备注「客服小美」，这边给您优先发货哦❤,2026-06-09 21:26:03.868
502,862606100179231,买家,text,我拍了洋甘菊舒缓喷雾，今天能发货吗？寄到南京鼓楼,2026-06-09 21:27:48.862
502,862606100179272,商家,text,您好，客服小美很高兴为您服务~,2026-06-09 21:28:42.339
502,862606100179357,商家,text,您好~现货48小时内发出，默认韵达，到南京鼓楼一般3天左右哦,2026-06-09 21:28:47.529
502,862606100179418,买家,text,别跟我说一般,2026-06-09 21:29:42.060
502,862606100179486,买家,text,给个准话今天发不发,2026-06-09 21:29:49.925
502,862606100179519,商家,text,理解您着急的心情，刚和仓库确认过，您的包裹今天一定发出，请放心~,2026-06-09 21:30:54.451
503,862606100179562,买家,text,积雪草和烟酰胺能一起用吗,2026-06-09 21:48:32.812
503,862606100179612,商家,text,您好，这两个成分不冲突，可以分早晚使用更稳妥，白天记得防晒哦~,2026-06-09 21:49:41.959
503,862606100179664,买家,text,烂脸了算你们的吗,2026-06-09 21:51:57.673
503,862606100179756,商家,text,建议新手先局部试用建立耐受，如出现持续刺痛泛红请停用，我们支持过敏凭证退货的哦~,2026-06-09 21:52:49.545
504,862606100179825,买家,text,我最近暗沉比较严重，洋甘菊修护唇膜有用吗,2026-06-09 22:06:27.867
504,862606100179871,买家,text,和精华一起用可以吗,2026-06-09 22:06:43.011
504,862606100179935,商家,text,亲亲在的哦~,2026-06-09 22:07:07.028
504,862606100179986,商家,text,您好~这款主打温和修护和长效保湿，很多回购的宝宝反馈对暗沉有帮助呢,2026-06-09 22:07:16.587
504,862606100180047,商家,text,可以的呢，建议先水后精华再面霜，薄涂即可，叠加使用不冲突哦,2026-06-09 22:07:25.986
504,862606100180140,买家,text,好的谢谢,2026-06-09 22:07:47.054
504,862606100180221,商家,text,好的呢~有任何问题随时联系客服，祝您生活愉快，皮肤越来越好哦❤,2026-06-09 22:07:59.577
505,862606100180295,买家,text,问一下,2026-06-09 22:06:57.890
505,862606100180353,买家,text,下单地址填错了,2026-06-09 22:07:09.374
505,862606100180401,买家,text,能帮我从北京朝阳改到武汉洪山吗？订单号20260676246092,2026-06-09 22:07:14.941
505,862606100180446,商家,text,您好~帮您看下订单状态，如果还没出库可以直接改，请把完整的新地址发我一下哦,2026-06-09 22:08:14.701
505,862606100180499,买家,text,武汉洪山xx路137号16栋272室，收件人电话不变,2026-06-09 22:09:08.829
505,862606100180539,商家,text,订单已出库的话地址改不了了，这边帮您联系快递做拦截改址，一般1-2天内有结果哦,2026-06-09 22:10:07.121
506,862606100180608,买家,text,闺蜜是敏感肌,2026-06-09 22:08:33.892
506,862606100180674,买家,text,送什么面膜安全,2026-06-09 22:08:55.112
506,862606100180767,商家,text,敏感肌闭眼入积雪草舒缓修护面膜，无酒精无香精，医美后也能用的~,2026-06-09 22:09:13.244
506,862606100180831,买家,text,有礼品袋吗,2026-06-09 22:09:30.581
506,862606100180919,商家,text,有的，赠送同色系礼品袋，送礼很有面子哦~,2026-06-09 22:09:49.273
507,862606100180977,买家,text,客服客服,2026-06-09 22:14:24.511
507,862606100181061,买家,text,首页领的优惠券怎么用不了？！！,2026-06-09 22:14:34.170
507,862606100181158,商家,text,亲，麻烦截图发我看下券的使用条件哦，部分券限品类或有门槛金额~,2026-06-09 22:15:48.463
507,862606100181241,买家,picture,https://img.example.com/buyer/coupon/305286.jpg,2026-06-09 22:16:22.530
507,862606100181277,买家,text,速度啊姐妹,2026-06-09 22:17:54.520
507,862606100181373,商家,text,看到啦，这张券需满199才能用，您购物车再加一件小样就能凑到门槛哦~,2026-06-09 22:18:15.906
508,862606100181429,买家,text,亲，在不在,2026-06-09 22:22:33.550
508,862606100181462,买家,text,我有点生气了，买的玻尿酸补水精华液收到瓶口是坏的，这怎么用？，气死我了,2026-06-09 22:22:46.295
508,862606100181505,买家,picture,https://img.example.com/buyer/damage/804367.jpg,2026-06-09 22:23:09.713
508,862606100181550,商家,text,非常抱歉给您带来不好的体验！这边已看到图片，先帮您登记核实，一定给您明确的处理结果,2026-06-09 22:24:04.521
508,862606100181592,买家,text,这个月第二次了，你们包装能不能上点心,2026-06-09 22:25:13.840
508,862606100181671,商家,text,真的非常抱歉！已反馈仓库加强包装，这单给您补发并附赠洁面起泡网作为补偿，请您消气~,2026-06-09 22:25:28.203
508,862606100181722,买家,text,行，那就补发吧，快点发,2026-06-09 22:25:47.016
508,862606100181789,商家,text,好的已登记补发，今天发出后单号会同步给您，感谢您的理解与支持❤,2026-06-09 22:26:10.981
509,862606100181829,买家,text,问一下,2026-06-09 22:25:25.468
509,862606100181904,买家,text,在吗？想问下双头遮瑕笔对毛孔粗大有改善吗,2026-06-09 22:25:33.402
509,862606100181982,商家,text,在的呢，您说~,2026-06-09 22:26:40.882
509,862606100182047,商家,text,您好，在的呢~ 双头遮瑕笔核心功效是保湿修护，坚持使用对毛孔粗大会有改善哦,2026-06-09 22:27:02.305
509,862606100182118,买家,text,会不会很油腻,2026-06-09 22:28:24.886
509,862606100182181,买家,text,和精华一起用可以吗,2026-06-09 22:28:38.447
509,862606100182244,商家,text,质地比较清爽，上脸好推开易吸收，油皮宝宝也可以放心使用的~,2026-06-09 22:29:16.938
509,862606100182318,商家,text,可以的呢，建议先水后精华再面霜，薄涂即可，叠加使用不冲突哦,2026-06-09 22:29:21.703
509,862606100182375,买家,text,行，我先拍一瓶试试,2026-06-09 22:30:53.663
509,862606100182471,商家,text,好的呢~有任何问题随时联系客服，祝您生活愉快，皮肤越来越好哦❤,2026-06-09 22:32:00.335
510,862606100182546,买家,text,氨基酸温和洁面乳和面霜的使用顺序是什么,2026-06-09 22:32:06.478
510,862606100182625,买家,text,搓泥是怎么回事,2026-06-09 22:32:10.589
510,862606100182691,商家,text,使用顺序：洁面→水→精华→乳/霜→（白天）防晒，质地越轻薄越先用哦~,2026-06-09 22:32:45.634
510,862606100182738,商家,text,搓泥一般是用量偏多或没等前一层吸收，建议减量并等30秒再叠涂下一层哦~,2026-06-09 22:32:54.181
511,862606100182776,买家,text,你好,2026-06-09 22:38:08.982
511,862606100182823,买家,text,七天无理由是从签收当天算吗？,2026-06-09 22:38:18.807
511,862606100182865,买家,text,怎么没人说话，无语,2026-06-09 22:39:54.272
511,862606100182950,商家,text,您好，是从签收次日起算7天哦，期间未拆封可直接申请退货，运费险会自动理赔~,2026-06-09 22:40:51.233
511,862606100183005,买家,text,退款多久到账,2026-06-09 22:43:36.315
511,862606100183059,商家,text,退款在仓库验收后1-3个工作日原路退回，请留意账户到账信息~,2026-06-09 22:44:16.958
511,862606100183149,买家,text,好，那我去申请,2026-06-09 22:46:04.834
511,862606100183206,商家,text,好的亲~申请后把单号发我，这边帮您加急处理哦❤,2026-06-09 22:47:31.431
512,862606100183278,买家,text,用了洋甘菊修护唇膜第二天脸上起了小红疹，还有点痒，怎么办,2026-06-09 23:16:16.726
512,862606100183368,商家,text,您好，先别担心~请立即停用并用清水洁面，避免叠加其他功效产品，如持续加重建议及时就医哦,2026-06-09 23:17:25.545
512,862606100183415,买家,text,是不是你们产品有问题？我用别的都没事,2026-06-09 23:18:52.105
512,862606100183467,商家,text,过敏支持退货的呢，麻烦提供皮肤状况照片，这边登记后为您办理退款，运费我们承担~,2026-06-09 23:19:04.225
512,862606100183545,买家,picture,https://img.example.com/buyer/skin/103401.jpg,2026-06-09 23:21:51.071
512,862606100183627,商家,text,收到照片啦，已帮您登记过敏售后，退款将在1-3个工作日原路退回，祝您皮肤早日恢复~,2026-06-09 23:23:06.319
513,862606100183695,买家,text,收到的角鲨烷保湿面霜和我之前专柜买的味道不一样,2026-06-09 23:40:07.219
513,862606100183782,商家,text,亲亲在的哦~,2026-06-09 23:40:27.779
513,862606100183824,商家,text,亲，不同批次香味可能有细微差异属正常现象，您可以扫瓶身防伪码验证真伪~,2026-06-09 23:40:40.440
514,862606100183870,买家,text,在吗？,2026-06-10 08:04:04.742
514,862606100183955,买家,text,老客户了，神经酰胺修护面霜能给点优惠不,2026-06-10 08:04:23.162
514,862606100184015,商家,text,感谢一直以来的支持！给您申请了老客专属20元无门槛券，下单自动生效哦,2026-06-10 08:05:20.343
514,862606100184081,买家,text,好的谢谢啦,2026-06-10 08:05:51.030
514,862606100184155,商家,text,不客气~祝您使用愉快，随时欢迎回来找小美❤,2026-06-10 08:07:19.272
515,862606100184249,买家,text,在吗？想问下洋甘菊修护唇膜对泛红有改善吗,2026-06-10 08:08:53.807
515,862606100184305,商家,text,您好，在的呢~ 洋甘菊修护唇膜核心功效是保湿修护，坚持使用对泛红会有改善哦,2026-06-10 08:10:00.459
515,862606100184391,买家,text,多久能看到效果呀,2026-06-10 08:12:36.405
515,862606100184479,买家,text,和精华一起用可以吗,2026-06-10 08:13:00.232
515,862606100184545,商家,text,一般连续使用2-4周会感觉皮肤状态改善，个体有差异哦，建议配合防晒效果更好~,2026-06-10 08:13:13.149
515,862606100184623,商家,text,可以的呢，建议先水后精华再面霜，薄涂即可，叠加使用不冲突哦,2026-06-10 08:13:19.841
516,862606100184708,买家,text,用了洋甘菊修护唇膜第二天脸上起了小红疹,2026-06-10 09:05:16.502
516,862606100184757,买家,text,还有点痒，怎么办,2026-06-10 09:05:37.416
516,862606100184826,商家,text,您好，先别担心~请立即停用并用清水洁面，避免叠加其他功效产品，如持续加重建议及时就医哦,2026-06-10 09:07:05.707
516,862606100184888,买家,text,那这瓶能退吗，才用了两次,2026-06-10 09:09:56.876
516,862606100184964,商家,text,过敏支持退货的呢，麻烦提供皮肤状况照片，这边登记后为您办理退款，运费我们承担~,2026-06-10 09:11:26.606
516,862606100185015,买家,picture,https://img.example.com/buyer/skin/153317.jpg,2026-06-10 09:14:05.528
516,862606100185104,商家,text,收到照片啦，已帮您登记过敏售后，退款将在1-3个工作日原路退回，祝您皮肤早日恢复~,2026-06-10 09:15:25.261
517,862606100185181,买家,text,你好,2026-06-10 09:18:13.269
517,862606100185223,买家,text,七天无理由是从签收当天算吗？,2026-06-10 09:18:36.379
517,862606100185257,商家,text,您好，是从签收次日起算7天哦，期间未拆封可直接申请退货，运费险会自动理赔~,2026-06-10 09:19:52.300
517,862606100185316,买家,text,退款多久到账,2026-06-10 09:21:53.597
517,862606100185350,买家,text,怎么没人说话，无语,2026-06-10 09:28:35.331
517,862606100185430,商家,text,退款在仓库验收后1-3个工作日原路退回，请留意账户到账信息~,2026-06-10 09:28:55.799
517,862606100185507,买家,text,好，那我去申请,2026-06-10 09:29:09.865
517,862606100185574,买家,text,？,2026-06-10 09:32:24.882
517,862606100185620,商家,text,好的亲~申请后把单号发我，这边帮您加急处理哦❤,2026-06-10 09:32:35.032
518,862606100185658,买家,text,客服客服,2026-06-10 09:18:54.987
518,862606100185750,买家,text,帮我看下，混干皮冬天用水杨酸祛痘棉片合适不,2026-06-10 09:19:14.296
518,862606100185786,商家,text,亲，混干皮是可以用的，建议首次先在耳后或手臂内侧试用，无不适再上脸~,2026-06-10 09:19:55.243
518,862606100185864,买家,text,好的，那我下单了,2026-06-10 09:22:06.398
518,862606100185954,商家,text,好的亲~今天下单还有赠品洁面起泡网哦，感谢支持❤,2026-06-10 09:23:09.837
519,862606100185997,买家,text,帮我看下,2026-06-10 09:20:09.950
519,862606100186063,买家,text,中性皮肤冬天用洋甘菊舒缓喷雾合适不,2026-06-10 09:20:27.233
519,862606100186097,商家,text,您好，这款针对中性皮肤做过测试，肤感清爽不闷，正确用量一般不会闷痘的哦,2026-06-10 09:20:56.754
519,862606100186170,买家,text,好的，那我下单了,2026-06-10 09:21:30.714
519,862606100186263,商家,text,好的亲~今天下单还有赠品化妆棉一包哦，感谢支持❤,2026-06-10 09:21:38.892
520,862606100186344,买家,text,虾青素抗氧精华里角鲨烷浓度是多少？,2026-06-10 09:41:42.621
520,862606100186394,买家,text,？？？,2026-06-10 09:46:54.162
520,862606100186490,商家,text,在的呢，您说~,2026-06-10 09:47:31.416
520,862606100186554,商家,text,您好~虾青素抗氧精华中角鲨烷添加浓度为3%，属于温和有效的浓度区间，耐受后可每天使用哦,2026-06-10 09:47:49.827
520,862606100186599,买家,text,烂脸了算你们的吗,2026-06-10 09:48:53.848
520,862606100186642,商家,text,详情页有完整备案成分表，也可以在药监局官网查询备案信息，正品保障请放心~,2026-06-10 09:50:12.572
521,862606100186674,买家,text,帮我看下,2026-06-10 10:01:26.454
521,862606100186712,买家,text,中性皮肤冬天用果酸焕肤身体乳合适不,2026-06-10 10:01:36.487
521,862606100186777,商家,text,您好~果酸焕肤身体乳配方温和无酒精无香精，中性皮肤也可以放心使用哦,2026-06-10 10:01:47.139
522,862606100186830,买家,text,问一下,2026-06-10 10:13:10.354
522,862606100186900,买家,text,果酸焕肤身体乳怎么用呀，早晚都要用吗,2026-06-10 10:13:16.451
522,862606100186942,商家,text,您好~果酸焕肤身体乳建议早晚洁面后使用，取1-2泵均匀涂抹全脸，避开眼周哦,2026-06-10 10:14:43.642
523,862606100186980,买家,text,订单20260644985481什么时候发货？都两天了,2026-06-10 10:22:29.399
523,862606100187034,商家,text,亲，已催仓库优先处理您的订单，发出后会短信通知，请留意物流信息~,2026-06-10 10:23:26.751
523,862606100187111,买家,text,别跟我说一般,2026-06-10 10:26:09.371
523,862606100187179,买家,text,给个准话今天发不发,2026-06-10 10:26:12.500
523,862606100187259,商家,text,理解您着急的心情，刚和仓库确认过，您的包裹今天一定发出，请放心~,2026-06-10 10:26:41.722
523,862606100187293,买家,text,行吧，发货了告诉我,2026-06-10 10:29:08.211
523,862606100187389,商家,text,好的亲~发出后系统会自动推送单号，感谢您的耐心等待❤,2026-06-10 10:29:44.249
524,862606100187464,买家,text,在么在么,2026-06-10 10:27:31.632
524,862606100187522,买家,text,一次用多少量合适？感觉一瓶用得好快,2026-06-10 10:27:40.380
524,862606100187595,买家,text,可以只晚上用吗,2026-06-10 10:27:45.204
524,862606100187680,商家,text,亲，一次黄豆粒大小就够啦，用量过多可能搓泥，按正常用量一瓶可以用2个月左右~,2026-06-10 10:29:10.526
524,862606100187761,商家,text,可以的呢，晚间皮肤吸收更好，只晚上用也完全OK~,2026-06-10 10:29:18.569
524,862606100187803,买家,text,明白了，谢谢,2026-06-10 10:30:14.157
524,862606100187878,商家,text,不客气哦~祝您使用愉快，有问题随时来找客服小美❤,2026-06-10 10:30:38.800
525,862606100187931,买家,text,你好，烟酰胺焕白精华有补水功能吗？,2026-06-10 13:03:15.709
525,862606100188016,买家,text,和精华一起用可以吗,2026-06-10 13:03:36.332
525,862606100188089,商家,text,在的呢，您说~,2026-06-10 13:04:49.759
525,862606100188153,商家,text,您好，在的呢~ 烟酰胺焕白精华核心功效是保湿修护，坚持使用对斑点会有改善哦,2026-06-10 13:05:11.825
525,862606100188229,商家,text,可以的呢，建议先水后精华再面霜，薄涂即可，叠加使用不冲突哦,2026-06-10 13:05:19.547
525,862606100188310,买家,text,好的谢谢,2026-06-10 13:08:15.857
525,862606100188360,商家,text,好的呢~有任何问题随时联系客服，祝您生活愉快，皮肤越来越好哦❤,2026-06-10 13:09:11.640
526,862606100188415,买家,text,想给女朋友买套护肤品当生日礼物，有推荐吗？预算500左右,2026-06-10 13:22:06.812
526,862606100188461,商家,text,有的呢~推荐我们的明星礼盒：控油清爽乳液+轻盈防晒霜SPF50+，礼盒包装带贺卡，预算内还能加购面膜两片❤,2026-06-10 13:23:18.443
526,862606100188553,买家,text,能帮忙写贺卡吗,2026-06-10 13:25:16.572
526,862606100188625,商家,text,可以的~下单备注贺卡内容，手写卡片随礼盒寄出，还免费打蝴蝶结哦❤,2026-06-10 13:26:42.882
527,862606100188708,买家,text,视黄醇和积雪草能一起用吗,2026-06-10 13:57:42.285
527,862606100188802,商家,text,您好，这两个成分不冲突，可以分早晚使用更稳妥，白天记得防晒哦~,2026-06-10 13:59:03.471
527,862606100188844,买家,text,烂脸了算你们的吗,2026-06-10 13:59:53.403
527,862606100188916,商家,text,建议新手先局部试用建立耐受，如出现持续刺痛泛红请停用，我们支持过敏凭证退货的哦~,2026-06-10 14:00:49.964
528,862606100188956,买家,text,在吗？想问下玫瑰纯露爽肤水对斑点有改善吗,2026-06-10 14:12:47.718
528,862606100188999,商家,text,您好，在的呢~ 玫瑰纯露爽肤水核心功效是保湿修护，坚持使用对斑点会有改善哦,2026-06-10 14:13:47.486
528,862606100189040,买家,text,白天能用吗,2026-06-10 14:15:13.469
528,862606100189091,商家,text,白天可以使用的，如果含美白/酸类成分建议白天做好防晒哦~,2026-06-10 14:15:47.978
528,862606100189186,买家,text,好的谢谢,2026-06-10 14:17:37.178
528,862606100189281,商家,text,好的呢~有任何问题随时联系客服，祝您生活愉快，皮肤越来越好哦❤,2026-06-10 14:17:52.485
529,862606100189339,买家,text,客服客服,2026-06-10 15:16:02.618
529,862606100189391,买家,text,我拍了烟酰胺焕白精华,2026-06-10 15:16:24.050
529,862606100189438,买家,text,今天能发货吗？寄到重庆渝北,2026-06-10 15:16:48.726
529,862606100189520,商家,text,您好~现货48小时内发出，默认顺丰，到重庆渝北一般4天左右哦,2026-06-10 15:16:56.852
530,862606100189589,买家,text,持妆无瑕粉底液里烟酰胺浓度是多少？,2026-06-10 15:24:24.501
530,862606100189644,商家,text,您好~持妆无瑕粉底液中烟酰胺添加浓度为0.3%，属于温和有效的浓度区间，耐受后可每天使用哦,2026-06-10 15:25:36.624
530,862606100189713,买家,text,有没有完整成分表,2026-06-10 15:28:01.542
530,862606100189767,商家,text,详情页有完整备案成分表，也可以在药监局官网查询备案信息，正品保障请放心~,2026-06-10 15:29:01.093
531,862606100189857,买家,text,你好,2026-06-10 15:46:09.675
531,862606100189911,买家,text,七天无理由是从签收当天算吗？,2026-06-10 15:46:13.871
531,862606100189949,商家,text,亲亲在的哦~,2026-06-10 15:47:38.917
531,862606100190012,商家,text,您好，是从签收次日起算7天哦，期间未拆封可直接申请退货，运费险会自动理赔~,2026-06-10 15:47:44.462
531,862606100190096,买家,text,退款多久到账,2026-06-10 15:50:32.238
531,862606100190127,商家,text,退款在仓库验收后1-3个工作日原路退回，请留意账户到账信息~,2026-06-10 15:51:27.783
532,862606100190222,买家,text,粉底液怎么选色号呀？我皮肤偏黄,2026-06-10 15:46:56.481
532,862606100190263,商家,picture,https://img.example.com/seller/shade_card/751388.jpg,2026-06-10 15:47:57.764
532,862606100190320,商家,text,可以看下手臂内侧肤色对照色卡，拿不准的话拍两个色号，不合适的未拆封可退哦~,2026-06-10 15:48:19.160
532,862606100190411,买家,text,持久度如何，一天要补妆吗,2026-06-10 15:49:00.003
532,862606100190482,商家,text,实测8-10小时持妆，油皮建议定妆喷雾锁一下，基本不用补妆~,2026-06-10 15:50:10.244
532,862606100190554,买家,text,行，那我试试,2026-06-10 15:51:15.532
532,862606100190624,商家,text,好眼光！这个色号是我们家断货王，现在拍还送化妆棉一包哦❤,2026-06-10 15:52:44.148
533,862606100190692,买家,text,氨基酸温和洁面乳和面霜的使用顺序是什么，很急！！,2026-06-10 15:50:20.896
533,862606100190777,商家,text,使用顺序：洁面→水→精华→乳/霜→（白天）防晒，质地越轻薄越先用哦~,2026-06-10 15:50:33.324
534,862606100190819,买家,text,七天无理由是从签收当天算吗？,2026-06-10 16:06:18.925
534,862606100190897,买家,text,我已经拆封用过两次了也能退？,2026-06-10 16:06:40.127
534,862606100190949,商家,text,您好，是从签收次日起算7天哦，期间未拆封可直接申请退货，运费险会自动理赔~,2026-06-10 16:07:23.420
534,862606100191003,商家,text,过敏或质量问题拆封了也支持退的呢，其他情况拆封使用会影响二次销售，需专员审核，请您理解~,2026-06-10 16:07:46.632
534,862606100191074,买家,text,好，那我去申请,2026-06-10 16:08:53.915
534,862606100191118,商家,text,好的亲~申请后把单号发我，这边帮您加急处理哦❤,2026-06-10 16:09:10.362
535,862606100191155,买家,text,下单地址填错了，能帮我从西安雁塔改到长沙岳麓吗？订单号20260619349672,2026-06-10 16:07:09.110
535,862606100191250,商家,text,在的呢，您说~,2026-06-10 16:08:22.977
535,862606100191328,商家,text,您好~帮您看下订单状态，如果还没出库可以直接改，请把完整的新地址发我一下哦,2026-06-10 16:08:34.198
535,862606100191412,买家,text,长沙岳麓xx路194号9栋261室,2026-06-10 16:10:18.695
535,862606100191476,买家,text,收件人电话不变,2026-06-10 16:10:32.886
535,862606100191566,商家,text,订单已出库的话地址改不了了，这边帮您联系快递做拦截改址，一般1-2天内有结果哦,2026-06-10 16:11:16.822
535,862606100191662,买家,text,好的，麻烦了,2026-06-10 16:11:46.432
535,862606100191752,商家,text,不客气~有其他问题随时找我哦❤,2026-06-10 16:12:09.378
536,862606100191814,买家,text,黄二白选什么色号合适,2026-06-10 16:17:56.634
536,862606100191877,商家,picture,https://img.example.com/seller/shade_card/879742.jpg,2026-06-10 16:18:48.566
536,862606100191960,商家,text,这是色卡图哦~偏黄皮建议选21明亮色，自然贴肤不假白,2026-06-10 16:19:01.642
536,862606100192000,买家,text,会不会氧化变黄？,2026-06-10 16:20:16.030
536,862606100192063,商家,text,这款添加了抗氧化成分，正常8小时内不会明显暗沉，配合妆前乳更持久哦~,2026-06-10 16:21:44.726
536,862606100192149,买家,text,行，那我试试,2026-06-10 16:22:03.565
536,862606100192246,商家,text,好眼光！这个色号是我们家断货王，现在拍还送化妆棉一包哦❤,2026-06-10 16:23:30.696
537,862606100192304,买家,text,客服客服,2026-06-10 16:55:09.805
537,862606100192381,买家,text,敏感肌用维C亮肤精华会闷痘吗,2026-06-10 16:55:29.874
537,862606100192426,商家,text,在的在的，请讲~,2026-06-10 16:55:41.647
537,862606100192464,商家,text,亲，敏感肌是可以用的，建议首次先在耳后或手臂内侧试用，无不适再上脸~,2026-06-10 16:55:47.860
537,862606100192520,买家,text,换季烂脸期能用吗,2026-06-10 16:56:00.800
537,862606100192614,商家,text,换季敏感期建议精简护肤，先用舒缓保湿类，等皮肤稳定后再叠加功效型产品~,2026-06-10 16:56:13.528
538,862606100192664,买家,text,买错了，想把视黄醇抗皱晚霜换成持妆无瑕粉底液，怎么操作,2026-06-10 17:03:33.660
538,862606100192724,买家,text,这客服是摆设吗,2026-06-10 17:08:47.512
538,862606100192811,商家,text,您好，客服小美很高兴为您服务~,2026-06-10 17:09:04.529
538,862606100192854,商家,text,亲，换货可以直接在订单页申请「换货」，选好新款式，我们收到退件后48小时内发出新品~,2026-06-10 17:09:27.295
538,862606100192921,买家,text,退款多久到账,2026-06-10 17:11:26.192
538,862606100192989,商家,text,退款在仓库验收后1-3个工作日原路退回，请留意账户到账信息~,2026-06-10 17:12:28.105
539,862606100193054,买家,text,上个月买的还能补开发票不,2026-06-10 17:15:11.443
539,862606100193123,商家,text,3个月内的订单都可以补开哦，把订单号和抬头信息发我，这边帮您提交~,2026-06-10 17:16:24.964
539,862606100193212,买家,text,税号是91330100XXXXXXXXXX,2026-06-10 17:17:08.649
539,862606100193245,买家,text,抬头我私发你,2026-06-10 17:17:22.620
539,862606100193290,商家,text,收到~已帮您提交开票申请，开好后第一时间发送给您，请留意查收哦❤,2026-06-10 17:18:46.312
540,862606100193357,买家,text,角鲨烷保湿面霜里多肽浓度是多少？,2026-06-10 17:33:15.710
540,862606100193394,商家,text,您好~角鲨烷保湿面霜中多肽添加浓度为5%，属于温和有效的浓度区间，耐受后可每天使用哦,2026-06-10 17:33:53.705
541,862606100193459,买家,text,在吗,2026-06-10 19:05:26.497
541,862606100193514,买家,text,发票能开公司抬头吗？要专票,2026-06-10 19:05:33.655
541,862606100193590,商家,text,支持开企业抬头，专票需要提供完整开票信息（税号、地址、开户行），这边登记后5个工作日内寄出~,2026-06-10 19:06:30.865
541,862606100193649,买家,text,税号是91330100XXXXXXXXXX，抬头我私发你,2026-06-10 19:06:54.888
541,862606100193687,商家,text,收到~已帮您提交开票申请，开好后第一时间发送给您，请留意查收哦❤,2026-06-10 19:07:41.348
